CCAA,GASTO_CONCIERTOS,AÑO,GASTO_PERC_PIB,GASTO_TOTAL,GASTO_HABITANTE,PUBLICA_HOSP,PRIVADA_HOSP,CONCIERTO_HOSP,OTRA_HOSP,PUBLICA_BEDS,PRIVADA_BEDS,CONCIERTO_BEDS,OTRA_BEDS
ASTURIAS,118525.0,2012,7.7,1655199.0,1546.0,8.0,5.0,7.0,,3022.0,165.0,959.0,
BALEARES,116669.0,2012,5.0,1293164.0,1171.0,4.0,4.0,14.0,,1179.0,353.0,2137.0,
CEUTA,,2012,,,,1.0,,,,252.0,,,
CEUTA,,2012,,100018.0,,1.0,,,,252.0,,,
CANARIAS,253331.0,2012,6.4,2519267.0,1204.0,9.0,8.0,20.0,,3504.0,536.0,3557.0,
CANTABRIA,31266.0,2012,8.6,1046218.0,1770.0,3.0,1.0,4.0,,1061.0,30.0,951.0,
CASTILLA Y LEÓN,162122.0,2012,6.5,3455191.0,1367.0,11.0,3.0,23.0,,5713.0,525.0,3445.0,
CASTILLA-LA MANCHA,166861.0,2012,7.1,2612747.0,1245.0,20.0,4.0,8.0,,5138.0,103.0,542.0,
CATALUÑA,2386326.0,2012,4.9,9482956.0,1265.0,29.0,115.0,67.0,,4089.0,13175.0,17315.0,
EXTREMADURA,74356.0,2012,9.1,1555519.0,1412.0,10.0,2.0,6.0,,3708.0,56.0,349.0,
GALICIA,206345.0,2012,6.5,3530254.0,1276.0,14.0,5.0,20.0,,7765.0,215.0,2238.0,
LA RIOJA,33845.0,2012,5.5,418980.0,1309.0,2.0,,3.0,,717.0,,211.0,
MELILLA,,2012,,,,1.0,,,,170.0,,,
MELILLA,,2012,,86973.0,,1.0,,,,170.0,,,
MADRID,834130.0,2012,3.9,7665513.0,1193.0,32.0,14.0,35.0,,14174.0,1626.0,6337.0,
MURCIA,152113.0,2012,8.0,2110545.0,1444.0,10.0,4.0,12.0,,3120.0,211.0,1316.0,
NAVARRA,67101.0,2012,5.3,918491.0,1437.0,4.0,1.0,6.0,,1389.0,13.0,1012.0,
PAÍS VASCO,248141.0,2012,5.5,3448823.0,1582.0,18.0,8.0,18.0,,5763.0,484.0,1989.0,
VALENCIA,376604.0,2012,6.4,6055584.0,1211.0,32.0,11.0,20.0,,10485.0,666.0,3097.0,
ANDALUCÍA,446568.0,2011,6.6,9442263.0,1130.0,44.0,39.0,19.0,,16025.0,3304.0,2601.0,
ARAGÓN,81767.0,2011,6.1,2050725.0,1525.0,16.0,2.0,11.0,,4110.0,330.0,1020.0,
ASTURIAS,123790.0,2011,7.7,1720684.0,1600.0,8.0,5.0,7.0,,3042.0,173.0,955.0,
BALEARES,128232.0,2011,6.0,1583788.0,1446.0,4.0,4.0,14.0,,1156.0,353.0,2110.0,
CEUTA,,2011,,,,1.0,,1.0,,252.0,,50.0,
CEUTA,,2011,,100974.0,,1.0,,1.0,,252.0,,50.0,
CANARIAS,286071.0,2011,6.7,2731177.0,1317.0,9.0,8.0,21.0,,3504.0,536.0,3609.0,
CANTABRIA,34540.0,2011,6.1,767087.0,1297.0,3.0,,5.0,,1132.0,,977.0,
CASTILLA Y LEÓN,169007.0,2011,6.1,3331929.0,1311.0,11.0,4.0,22.0,,5754.0,566.0,3218.0,
CASTILLA-LA MANCHA,206999.0,2011,8.0,3067039.0,1458.0,20.0,4.0,8.0,,5123.0,193.0,546.0,
CATALUÑA,2450073.0,2011,5.1,10120602.0,1349.0,27.0,119.0,67.0,,3794.0,13231.0,16768.0,
EXTREMADURA,72644.0,2011,9.5,1692857.0,1534.0,10.0,2.0,6.0,,3697.0,53.0,354.0,
GALICIA,214224.0,2011,6.6,3668224.0,1323.0,15.0,7.0,19.0,,7964.0,325.0,2136.0,
LA RIOJA,34457.0,2011,5.8,461903.0,1439.0,2.0,,3.0,,717.0,,214.0,
MELILLA,,2011,,,,1.0,,,,172.0,,,
MELILLA,,2011,,88405.0,,1.0,,,,172.0,,,
MADRID,713277.0,2011,4.2,8418057.0,1313.0,31.0,15.0,34.0,,13542.0,1786.0,6112.0,
MURCIA,162621.0,2011,8.3,2265509.0,1551.0,10.0,4.0,12.0,,3047.0,208.0,1315.0,
NAVARRA,75057.0,2011,5.5,987510.0,1546.0,6.0,1.0,6.0,,1369.0,13.0,1012.0,
PAÍS VASCO,248374.0,2011,5.6,3566168.0,1633.0,18.0,8.0,18.0,,5835.0,488.0,2033.0,
VALENCIA,442363.0,2011,6.8,6740132.0,1347.0,31.0,18.0,14.0,,10199.0,1617.0,2382.0,
ANDALUCÍA,515167.0,2010,6.9,10008978.0,1205.0,44.0,44.0,19.0,,16088.0,3728.0,2728.0,
ARAGÓN,74961.0,2010,5.9,1991048.0,1482.0,15.0,2.0,12.0,,4075.0,330.0,1048.0,
ASTURIAS,128524.0,2010,7.4,1672215.0,1554.0,8.0,5.0,7.0,,3077.0,173.0,932.0,
BALEARES,85508.0,2010,6.3,1678928.0,1544.0,4.0,4.0,15.0,,1167.0,353.0,2116.0,
CEUTA,,2010,,,,,1.0,1.0,,,163.0,50.0,
CEUTA,,2010,,99210.0,,,1.0,1.0,,,163.0,50.0,
CANARIAS,287846.0,2010,7.0,2852465.0,1389.0,9.0,8.0,21.0,,3495.0,507.0,3631.0,
CANTABRIA,33803.0,2010,6.7,858446.0,1456.0,3.0,,6.0,,1132.0,,1008.0,
CASTILLA Y LEÓN,156738.0,2010,6.6,3616111.0,1421.0,11.0,5.0,24.0,,5655.0,599.0,3325.0,
CASTILLA-LA MANCHA,202413.0,2010,8.3,3203811.0,1533.0,19.0,4.0,9.0,,4951.0,193.0,693.0,
CATALUÑA,2577635.0,2010,5.3,10688086.0,1429.0,30.0,116.0,64.0,,4287.0,13352.0,16002.0,
EXTREMADURA,66839.0,2010,9.5,1730317.0,1572.0,10.0,2.0,7.0,,3747.0,49.0,351.0,
GALICIA,223949.0,2010,6.9,3937966.0,1421.0,15.0,7.0,20.0,,7874.0,329.0,2240.0,
LA RIOJA,34119.0,2010,5.8,466667.0,1459.0,2.0,,3.0,,707.0,,207.0,
MELILLA,,2010,,,,1.0,,,,172.0,,,
MELILLA,,2010,,88491.0,,1.0,,,,172.0,,,
MADRID,572220.0,2010,3.7,7362693.0,1153.0,31.0,16.0,34.0,,13994.0,1944.0,5818.0,
MURCIA,161417.0,2010,8.0,2240581.0,1538.0,10.0,4.0,12.0,,3026.0,208.0,1300.0,
NAVARRA,66110.0,2010,5.6,998242.0,1572.0,6.0,1.0,6.0,,1376.0,13.0,1012.0,
PAÍS VASCO,251130.0,2010,5.6,3605635.0,1653.0,18.0,7.0,19.0,,5835.0,392.0,2103.0,
VALENCIA,428240.0,2010,6.9,6935535.0,1390.0,30.0,16.0,16.0,,9653.0,1316.0,2755.0,
ANDALUCÍA,485994.0,2009,7.1,10275784.0,1246.0,42.0,43.0,19.0,,16060.0,3503.0,2867.0,
ARAGÓN,79784.0,2009,6.1,2051556.0,1526.0,15.0,3.0,11.0,,4079.0,377.0,1006.0,
ASTURIAS,116886.0,2009,7.8,1748185.0,1624.0,8.0,5.0,7.0,,3077.0,173.0,932.0,
BALEARES,65564.0,2009,5.4,1426017.0,1323.0,4.0,4.0,15.0,,1167.0,360.0,2143.0,
CEUTA,,2009,,,,,1.0,1.0,,,163.0,50.0,
CEUTA,,2009,,96120.0,,,1.0,1.0,,,163.0,50.0,
CANARIAS,287424.0,2009,7.4,2993846.0,1472.0,9.0,8.0,22.0,,3475.0,520.0,3664.0,
CANTABRIA,30302.0,2009,6.4,812242.0,1384.0,4.0,,5.0,,1434.0,,733.0,
CASTILLA Y LEÓN,139937.0,2009,6.5,3540557.0,1390.0,11.0,5.0,24.0,,5597.0,605.0,3303.0,
CASTILLA-LA MANCHA,210396.0,2009,8.2,3167422.0,1526.0,18.0,4.0,9.0,,4808.0,193.0,696.0,
CATALUÑA,2679565.0,2009,5.3,10527040.0,1414.0,31.0,121.0,54.0,,5705.0,14713.0,12844.0,
EXTREMADURA,69386.0,2009,9.8,1749328.0,1594.0,12.0,3.0,7.0,,3753.0,101.0,340.0,
GALICIA,231128.0,2009,7.2,4064440.0,1468.0,11.0,11.0,24.0,,7562.0,462.0,2557.0,
LA RIOJA,32728.0,2009,5.9,467888.0,1463.0,2.0,,3.0,,769.0,,207.0,
MELILLA,,2009,,,,1.0,,,,172.0,,,
MELILLA,,2009,,89430.0,,1.0,,,,172.0,,,
MADRID,608201.0,2009,4.1,8042266.0,1266.0,31.0,19.0,33.0,,14158.0,2129.0,6278.0,
MURCIA,159785.0,2009,8.2,2258270.0,1559.0,9.0,4.0,13.0,,2878.0,194.0,1433.0,
NAVARRA,65071.0,2009,5.6,1005880.0,1596.0,6.0,1.0,6.0,,1374.0,13.0,1018.0,
PAÍS VASCO,257089.0,2009,5.6,3606720.0,1657.0,18.0,7.0,19.0,,5840.0,394.0,2125.0,
VALENCIA,387437.0,2009,6.7,6763474.0,1357.0,29.0,19.0,12.0,1.0,9304.0,1491.0,1922.0,260.0
ANDALUCÍA,442483.0,2008,6.8,10307068.0,1262.0,39.0,44.0,21.0,,15981.0,3603.0,2921.0,
ARAGÓN,79787.0,2008,5.4,1897573.0,1420.0,16.0,3.0,11.0,,4092.0,357.0,1034.0,
ASTURIAS,108618.0,2008,6.5,1550407.0,1444.0,8.0,5.0,7.0,,3102.0,199.0,922.0,
BALEARES,61021.0,2008,4.8,1312111.0,1241.0,4.0,4.0,15.0,,1155.0,379.0,2183.0,
CEUTA,,2008,,,,,1.0,1.0,,,163.0,50.0,
CEUTA,,2008,,90948.0,,,1.0,1.0,,,163.0,50.0,
CANARIAS,271296.0,2008,6.7,2854531.0,1420.0,9.0,7.0,23.0,,3537.0,496.0,3720.0,
CANTABRIA,17880.0,2008,5.8,773223.0,1330.0,4.0,,5.0,,1437.0,,733.0,
CASTILLA Y LEÓN,161042.0,2008,6.4,3621070.0,1422.0,11.0,6.0,23.0,,5639.0,669.0,3122.0,
CASTILLA-LA MANCHA,174292.0,2008,7.2,2870904.0,1400.0,18.0,5.0,9.0,,4837.0,216.0,652.0,
CATALUÑA,2937779.0,2008,4.8,9872154.0,1338.0,25.0,110.0,66.0,2.0,3614.0,12498.0,16517.0,334.0
EXTREMADURA,62093.0,2008,9.1,1659212.0,1520.0,10.0,5.0,7.0,,3093.0,187.0,1082.0,
GALICIA,221253.0,2008,6.5,3805445.0,1379.0,11.0,11.0,25.0,,7581.0,487.0,2565.0,
LA RIOJA,28288.0,2008,5.7,470302.0,1477.0,2.0,,3.0,,769.0,,207.0,
MELILLA,,2008,,,,1.0,,1.0,,172.0,,50.0,
MELILLA,,2008,,88192.0,,1.0,,1.0,,172.0,,50.0,
MADRID,461843.0,2008,3.7,7444430.0,1185.0,24.0,19.0,34.0,,12546.0,2087.0,6719.0,
MURCIA,169488.0,2008,7.3,2132190.0,1489.0,9.0,4.0,14.0,,2855.0,194.0,1668.0,
NAVARRA,53638.0,2008,4.9,916413.0,1473.0,6.0,1.0,6.0,,1379.0,13.0,1026.0,
PAÍS VASCO,242405.0,2008,5.0,3341272.0,1542.0,18.0,8.0,18.0,,5929.0,474.0,2060.0,
VALENCIA,390301.0,2008,5.7,6136590.0,1237.0,29.0,19.0,12.0,1.0,9241.0,1524.0,1967.0,260.0
ANDALUCÍA,411940.0,2007,6.0,8867511.0,1101.0,36.0,44.0,19.0,,15976.0,3500.0,2767.0,
ARAGÓN,66989.0,2007,5.1,1738781.0,1328.0,16.0,2.0,10.0,,4158.0,303.0,1000.0,
ASTURIAS,94853.0,2007,6.2,1423253.0,1333.0,8.0,5.0,7.0,,3140.0,199.0,949.0,
BALEARES,55683.0,2007,4.6,1209518.0,1180.0,4.0,6.0,12.0,,1299.0,506.0,1683.0,
CEUTA,,2007,,,,,1.0,1.0,,,163.0,50.0,
CEUTA,,2007,,78183.0,,,1.0,1.0,,,163.0,50.0,
CANARIAS,245723.0,2007,6.1,2509037.0,1275.0,9.0,10.0,28.0,,3506.0,651.0,4278.0,
CANTABRIA,65363.0,2007,6.4,825218.0,1441.0,4.0,,6.0,,1614.0,,835.0,
CASTILLA Y LEÓN,137765.0,2007,5.5,3073042.0,1215.0,11.0,7.0,21.0,,5680.0,706.0,3121.0,
CASTILLA-LA MANCHA,145064.0,2007,6.6,2530169.0,1263.0,14.0,5.0,9.0,,4458.0,216.0,683.0,
CATALUÑA,2711896.0,2007,4.4,8966701.0,1240.0,25.0,106.0,68.0,1.0,3070.0,11801.0,17666.0,250.0
EXTREMADURA,57778.0,2007,8.7,1526277.0,1406.0,8.0,5.0,7.0,,2938.0,187.0,1102.0,
GALICIA,206202.0,2007,6.2,3452597.0,1257.0,11.0,11.0,25.0,,7526.0,426.0,2568.0,
LA RIOJA,24744.0,2007,7.0,556373.0,1781.0,2.0,,3.0,,748.0,,207.0,
MELILLA,,2007,,,,1.0,,1.0,,172.0,,50.0,
MELILLA,,2007,,78764.0,,1.0,,1.0,,172.0,,50.0,
MADRID,408264.0,2007,3.5,6777571.0,1102.0,23.0,20.0,31.0,,12663.0,1999.0,6399.0,
MURCIA,125906.0,2007,6.3,1755530.0,1250.0,9.0,4.0,13.0,,2866.0,194.0,1479.0,
NAVARRA,45349.0,2007,4.7,826706.0,1356.0,6.0,1.0,6.0,,1360.0,13.0,1026.0,
PAÍS VASCO,215089.0,2007,4.7,3021762.0,1405.0,18.0,8.0,18.0,,5975.0,495.0,2053.0,
VALENCIA,336486.0,2007,5.4,5589768.0,1148.0,29.0,19.0,13.0,1.0,9233.0,1455.0,2040.0,269.0
ANDALUCÍA,347852.0,2006,6.0,8339228.0,1052.0,33.0,42.0,19.0,,16720.0,3088.0,2884.0,
ARAGÓN,63458.0,2006,5.1,1589130.0,1239.0,16.0,2.0,10.0,,4188.0,303.0,998.0,
ASTURIAS,93661.0,2006,6.2,1339114.0,1259.0,8.0,5.0,7.0,,3141.0,199.0,951.0,
BALEARES,53704.0,2006,4.4,1077552.0,1092.0,4.0,10.0,10.0,,1346.0,852.0,1379.0,
CEUTA,,2006,,,,,1.0,1.0,,,163.0,50.0,
CEUTA,,2006,,73283.0,,,1.0,1.0,,,163.0,50.0,
CANARIAS,229966.0,2006,5.9,2317742.0,1206.0,9.0,9.0,27.0,,3508.0,623.0,4174.0,
CANTABRIA,54357.0,2006,6.4,766157.0,1358.0,4.0,,6.0,,1603.0,,819.0,
CASTILLA Y LEÓN,137573.0,2006,6.1,3164216.0,1264.0,11.0,10.0,21.0,,5750.0,959.0,3084.0,
CASTILLA-LA MANCHA,147407.0,2006,6.7,2354915.0,1213.0,16.0,5.0,8.0,,4319.0,216.0,631.0,
CATALUÑA,2522128.0,2006,4.3,8070644.0,1140.0,23.0,104.0,70.0,1.0,2683.0,11770.0,17831.0,250.0
EXTREMADURA,54442.0,2006,8.3,1348811.0,1251.0,8.0,5.0,7.0,,2938.0,187.0,1102.0,
GALICIA,194877.0,2006,6.2,3231003.0,1182.0,11.0,11.0,25.0,,7557.0,426.0,2491.0,
LA RIOJA,22978.0,2006,6.2,455874.0,1495.0,2.0,,3.0,,766.0,,207.0,
MELILLA,,2006,,,,1.0,,1.0,,172.0,,50.0,
MELILLA,,2006,,69989.0,,1.0,,1.0,,172.0,,50.0,
MADRID,354917.0,2006,3.4,6139263.0,1023.0,23.0,18.0,31.0,,12637.0,2879.0,5341.0,
MURCIA,122022.0,2006,6.0,1566505.0,1146.0,9.0,4.0,12.0,,2673.0,192.0,1452.0,
NAVARRA,41125.0,2006,4.5,753309.0,1263.0,6.0,1.0,6.0,,1361.0,13.0,959.0,
PAÍS VASCO,185111.0,2006,4.5,2702510.0,1266.0,18.0,8.0,19.0,,6033.0,494.0,2117.0,
VALENCIA,341935.0,2006,5.2,5119756.0,1081.0,28.0,20.0,13.0,,9182.0,1447.0,2039.0,
